Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Северо-Кавказский горно-металлургический институт (государственный технологический университет) ; 52.8; -6; 617; 0; Да;бакалавриат;36;146.0;107000;магистратура;;;;РСО-Алания, г. Владикавказ, ул. Николаева, 44;False;True
 Сибирский государственный автомобильно-дорожный университет ; 62.5; -0.7; 546; 0; Нет;бакалавриат;;;;0;0;0;0;644080  г. Омск,  Пр. Мира, 5;True;True
 Сибирский государственный индустриальный университет ; 65.3; 2.3; 1095; 1; Нет;бакалавриат;30;125.0;;0;0;0;0;654007, Кемеровская область - Кузбасс, г. Новокузнецк, Центральный р-н, ул. Кирова, зд. 42;False;True
 Сибирский государственный университет путей сообщения ; 62.6; -2.8; 562; 2; Да;бакалавриат;16;200.0;141000;0;0;0;0;630049, г.Новосибирск, ул.Дуси Ковальчук, 191;False;True
 Сибирский государственный университет телекоммуникаций и информатики ; 65.5; -4; 948; 0; Да;бакалавриат;0;0.0;56000;магистратура;0;0.0;140000;630102, г.Новосибирск, ул.  Кирова, д. 86;True;True
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;20;;;магистратура;48;41.0;188584;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True
 Смоленский государственный университет; 71.0; 1.8; 321; 0; Да;бакалавриат;;;38400;0;0;0;0;214000, г. Смоленск, ул. Пржевальского, д.4;False;True
 Сочинский государственный университет; 66.6; -1.6; 412; 0; Нет;бакалавриат;75;197.0;134800;магистратура;10;55.0;145100;354000, Краснодарский край, г. Сочи, Центральный район, ул. Пластунская, д. 94;False;True
 Сыктывкарский государственный университет; 67.6; 0.4; 750; 1; Нет;бакалавриат;50;194.0;180550;магистратура;18;60.0;;167001, Республика Коми, г.Сыктывкар, Октябрьский пр., д.55;False;True
 Тамбовский государственный университет имени Г.Р. Державина; 67.6; -0.9; 929; 0; Нет;бакалавриат;0;0.0;35000;магистратура;0;0.0;35000;392036, Центральный федеральный округ, Тамбовская область, г. Тамбов, ул. Интернациональная, 33;True;False
 Тверской государственный технический университет; 61.6; -0.4; 552; 0; Нет;бакалавриат;15;169.0;50260;магистратура;16;32.0;133270;170026. г.Тверь, наб. А.Никитина, дом 22;True;True
 Тверской государственный университет; 68.6; -3.5; 856; 0; Да;бакалавриат;15;169.0;50260;магистратура;16;32.0;133270;170026. г.Тверь, наб. А.Никитина, дом 22;True;True
 Тольяттинский государственный университет; 64.4; -0.8; 834; 0; Да;бакалавриат;0;0.0;39500;магистратура;;;;445020, Самарская область, г. Тольятти, ул.Белорусская, 14;True;True
 Томский государственный архитектурно-строительный университет; 70.6; 0.5; 670; 0; Нет;бакалавриат;;;;0;0;0;0;634003, г.Томск, пл.Соляная, д.2;False;True
 Томский государственный университет систем управления и радиоэлектроники; 68.7; -0.3; 1236; 3; Нет;бакалавриат;13;184.0;44000;0;0;0;0;634050, Россия, г. Томск, пр. Ленина, 40;False;True
 Тульский государственный университет; 65.7; -2.2; 1393; 0; Да;бакалавриат;25;125.0;136680;магистратура;0;0.0;127320;300026,  г. Тула, проспект Ленина, 125;False;True
 Тюменский государственный университет; 77.9; -0.8; 1408; 18; Да;бакалавриат;15;241.0;286000;магистратура;16;44.0;175928;625003, Тюменская область, г. Тюмень, ул. Семакова, д. 10;False;False
 Удмуртский государственный университет ; 67.2; -1.6; 1264; 6; Да;бакалавриат;;;33300;0;0;0;0;426034, Удмуртская Республика, г. Ижевск, ул. Университетская, д. 1;False;False
 Ульяновский государственный технический университет; 66.8; 0.8; 888; 1; Да;бакалавриат;40;175.0;111580;магистратура;12;81.0;126810;432027, г.Ульяновск, ул.Северный Венец, 32;False;True
 Ульяновский государственный университет; 66.3; -1; 853; 0; Нет;бакалавриат;40;175.0;111580;магистратура;12;81.0;126810;432027, г.Ульяновск, ул.Северный Венец, 32;False;True
 Уральский государственный лесотехнический университет ; 64.0; -0.6; 683; 0; Нет;бакалавриат;25;208.0;50000;магистратура;0;0.0;154200;620100, Свердловская область, г. Екатеринбург, ул. Сибирский тракт, д. 37;False;True
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;0;0.0;84000;магистратура;0;0.0;104000;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True
 Уфимский государственный авиационный технический университет; 69.2; -1.2; 1404; 7; Нет;бакалавриат;0;0.0;56000;0;0;0;0;450000, Республика Башкортостан, г. Уфа, ул. К. Маркса, д. 12;True;True
 Уфимский государственный нефтяной технический университет; 73.4; -2.8; 1766; 33; Да;бакалавриат;10;0.0;75000;0;0;0;0;450064, Республика Башкортостан, г.Уфа, ул.Космонавтов, 1;False;True
 Челябинский государственный университет; 71.9; -0.3; 819; 12; Нет;бакалавриат;0;0.0;39400;0;0;0;0;454001, Челябинская область, город Челябинск, улица Братьев Кашириных, дом 129;False;True
 Чеченский государственный педагогический университет ; 61.1; 2.8; 776; 0; Нет;бакалавриат;25;158.0;48000;магистратура;0;40.0;40000;364037, г. Грозный ул. Субры Кишиевой, 33;False;True
 Чувашский государственный университет имени И.Н. Ульянова ; 70.3; 0.9; 1296; 1; Да;бакалавриат;0;0.0;27500;магистратура;0;0.0;32600;428015, г.Чебоксары  Московский проспект,15;False;True
 Южно-Российский государственный политехнический университет имени М.И. Платова ; 59.5; 2.2; 942; 1; Да;бакалавриат;36;159.0;109680;магистратура;15;274.0;116340;346428, Ростовская область, г.Новочеркасск, ул. Просвещения 132;True;True
 Южный федеральный университет; 76.7; 0.2; 3088; 34; Да;бакалавриат;75;229.0;130000;магистратура;22;50.0;133000;344006, г.Ростов-на-Дону, ул.Большая Садовая, д. 105/42;True;True
