university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Магнитогорский гос. техн. ун-т. им. Г.И. Носова; 64.8; 1; 1405; 2; Нет
 Майкопский гос. технол. ун-т.; 60.4; 2.2; 344; 0; Нет
 Майкопский гос. технол. ун-т.; 60.4; 2.2; 344; 0; Нет
 Марийский гос. ун-т., г. Йошкар-Ола; 66.9; 1.2; 1277; 0; Нет
 Марийский гос. ун-т., г. Йошкар-Ола; 66.9; 1.2; 1277; 0; Нет
 МИРЭА - Российский технол. ун-т.; 81.5; 1.6; 3031; 54; Да
 МИРЭА - Российский технол. ун-т.; 81.5; 1.6; 3031; 54; Да
 Мичуринский гос. аграрный ун-т.; 53.8; -2.2; 501; 0; Нет
 Мичуринский гос. аграрный ун-т.; 53.8; -2.2; 501; 0; Нет
 Мордовский гос. педагогический ин-т. им. М.Е. Евсевьева, г. Саранск; 64.2; -0.6; 575; 0; Нет
 Мордовский гос. педагогический ин-т. им. М.Е. Евсевьева, г. Саранск; 64.2; -0.6; 575; 0; Нет
 Морской гос. ун-т. им. адмирала Г.И. Невельского, г. Владивосток; 58.1; 1.5; 444; 0; Нет
 Морской гос. ун-т. им. адмирала Г.И. Невельского, г. Владивосток; 58.1; 1.5; 444; 0; Нет
 Моск. авиационный ин-т. (национальный исследовательский ун-т.); 78.5; 1; 2790; 22; Да
 Моск. авиационный ин-т. (национальный исследовательский ун-т.); 78.5; 1; 2790; 22; Да
 Моск. автомобильно-дорожный гос. техн. ун-т. (МАДИ); 65.7; -0.5; 794; 1; Да
 Моск. автомобильно-дорожный гос. техн. ун-т. (МАДИ); 65.7; -0.5; 794; 1; Да
 Моск. городской педагогический ун-т.; 87.2; 1.7; 1094; 82; Да
 Моск. городской педагогический ун-т.; 87.2; 1.7; 1094; 82; Да
 Моск. гос. ин-т. международных отношений; 96.7; 0.5; 405; 102; Да
 Моск. гос. ин-т. международных отношений; 96.7; 0.5; 405; 102; Да
 Моск. гос. лингвистический ун-т.; 89.6; 0; 532; 48; Да
 Моск. гос. лингвистический ун-т.; 89.6; 0; 532; 48; Да
 Моск. гос. медико-стоматологический ун-т.; 81.9; -0.3; 642; 23; Да
 Моск. гос. медико-стоматологический ун-т.; 81.9; -0.3; 642; 23; Да
 Моск. гос. областной ун-т.; 73.8; 1; 840; 14; Да
 Моск. гос. областной ун-т.; 73.8; 1; 840; 14; Да
 Моск. гос. психолого-педагогический ун-т.; 79.3; 2.9; 500; 0; Нет
 Моск. гос. психолого-педагогический ун-т.; 79.3; 2.9; 500; 0; Нет
 Моск. гос. техн. ун-т. гражданской авиации; 64.9; -0.6; 575; 0; Да
 Моск. гос. техн. ун-т. гражданской авиации; 64.9; -0.6; 575; 0; Да
 Моск. гос. техн. ун-т. им. Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да
 Моск. гос. техн. ун-т. им. Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да
" Моск. гос. технол. ун-т. ""Станкин"""; 71.2; -0.5; 829; 3; Да
" Моск. гос. технол. ун-т. ""Станкин"""; 71.2; -0.5; 829; 3; Да
 Моск. гос. ун-т. геодезии и картографии; 70.9; -2.8; 467; 2; Да
 Моск. гос. ун-т. геодезии и картографии; 70.9; -2.8; 467; 2; Да
 Моск. гос. ун-т. им. М.В. Ломоносова; 90.2; -0.6; 3835; 496; Да
 Моск. гос. ун-т. им. М.В. Ломоносова; 90.2; -0.6; 3835; 496; Да
 Моск. гос. ун-т. пищевых производств; 76.8; 1.6; 591; 0; Да
 Моск. гос. ун-т. пищевых производств; 76.8; 1.6; 591; 0; Да
 Моск. гос. ун-т. технологий и управления им. К.Г. Разумовского (Первый казачий ун-т.); 74.7; -6.2; 322; 0; Да
 Моск. гос. ун-т. технологий и управления им. К.Г. Разумовского (Первый казачий ун-т.); 74.7; -6.2; 322; 0; Да
 Моск. гос. юридический ун-т. им. О.Е. Кутафина; 89.6; -0.3; 809; 79; Да
 Моск. гос. юридический ун-т. им. О.Е. Кутафина; 89.6; -0.3; 809; 79; Да
 Моск. педагогический гос. ун-т.; 79.5; -0.5; 1225; 5; Да
 Моск. педагогический гос. ун-т.; 79.5; -0.5; 1225; 5; Да
 Моск. политехн. ун-т.; 76.1; 2.5; 1756; 35; Да
 Моск. политехн. ун-т.; 76.1; 2.5; 1756; 35; Да
