university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link
Новосибирский+гос.+техн.+ун-т.; 73.1; -0.9;2023;3; Да;0
;;;;;;
Новосибирский+национальный+исследовательский+гос.+ун-т.; 87.0; -0.8;1288;87; Нет;0
;;;;;;
Обнинский+ин-т.+атомной+энергетики+-+филиал+Национального+исследовательского+ядерного+ун-т.а+«МИФИ»; 73.4; -0.7;410;2; Да;https://ruvuz.ru/120000-fotonika-priborostroenie-opticheskie-i-biotehnicheskie-sistemyi-i-tehnologii/120301-priborostroenie/zaochnaya-forma-obucheniya
;;;;;;
Омский+гос.+аграрный+ун-т.; 56.2; -0.6;721;0; Нет;0
;;;;;;
Омский+гос.+медицинский+ун-т.; 71.7; -1.8;395;0; Нет;0
;;;;;;
Омский+гос.+педагогический+ун-т.; 68.0; 0.5;704;0; Нет;0
;;;;;;
Омский+гос.+техн.+ун-т.; 64.4; 0.9;1891;1; Нет;0
;;;;;;
Омский+гос.+ун-т.+им.+Ф.М.+Достоевского; 70.3; -2.9;774;4; Да;0
;;;;;;
Омский+гос.+ун-т.+путей+сообщения; 54.8; -2.4;763;0; Нет;0
;;;;;;
Оренбургский+гос.+аграрный+ун-т.; 53.1;;533;0; Нет;0
;;;;;;
Оренбургский+гос.+медицинский+ун-т.; 74.3;-1;540;0; Нет;0
;;;;;;
Оренбургский+гос.+педагогический+ун-т.; 72.5; -0.2;434;0; Нет;0
;;;;;;
Оренбургский+гос.+ун-т.; 65.6; 0.4;1264;0; Нет;https://ruvuz.ru/sochi/miu/bakalavriat-i-spetsialitet
;;;;;;
Орловский+гос.+аграрный+ун-т.; 59.9;;438;0; Да;0
;;;;;;
Орловский+гос.+ун-т.+им.+И.С.+Тургенева; 68.2; -0.9;1581;2; Нет;0
;;;;;;
Пензенский+гос.+аграрный+ун-т.; 54.0;-1;395;0; Да;0
;;;;;;
Пензенский+гос.+технол.+ун-т.; 63.5; -2.6;409;0; Нет;0
;;;;;;
Пензенский+гос.+ун-т.; 69.6; -2.1;1522;9; Да;0
;;;;;;
Пензенский+гос.+ун-т.+архитектуры+и+строительства; 65.6; 2.6;540;25; Да;0
;;;;;;
Первый+гос.+московский+медицинский+ун-т.+им.+И.М.+Сеченова; 84.4; -0.6;1861;230; Да;0
;;;;;;
Первый+Санкт-Петербургский+гос.+медицинский+ун-т.+им.+И.П.+Павлова; 80.3; -1.8;696;3; Да;0
;;;;;;
Пермский+гос.+аграрно-технол.+ун-т.+им.+академика+Д.Н.+Прянишникова; 61.8; 1.5;585;0; Нет;0
;;;;;;
Пермский+гос.+гуманитарно-педагогический+ун-т.; 69.5; -1.6;555;0; Да;0
;;;;;;
Пермский+гос.+медицинский+ун-т.; 71.8; 0.5;491;0; Да;0
;;;;;;
